comment    like                          nick     postTime  reply  unlike                                user_url
                            不是国语差评，弃漫很久了，说是国漫才回来的     NaN                土豆用户_809415950          2周前    NaN     NaN  http://i.youku.com/i/UMzIzNzY2MzgwMA==
                        看预告的时候就觉得和驱魔少年的画风很像，所以很期待     9.0          优酷用户1461979510542872  2017年07月08日    NaN    13.0  http://i.youku.com/i/UMzYxNjc0NjM4OA==
                      漫画越到后面越觉得不好看。如果不是福山润还真是不太想看     7.0                   levanpolkka  2017年07月08日    NaN     5.0  http://i.youku.com/i/UMTM5Nzk5Mjg1Mg==
         我就想说一点，声音，字幕和画面，老是对不上，不管是动漫还是电影都有这毛病，好废。     NaN                 支付宝用户07554868  2017年11月28日    NaN     NaN  http://i.youku.com/i/UMzQyNDA0NzU4NA==
                            为啥国产漫画动漫却是日文呢？ 吸引眼球吗？     5.0                        呵呵哒小lz  2017年07月15日    (3)     5.0  http://i.youku.com/i/UMTM1NTE2NTQ2OA==
                             没有国语的？漫画现在在翻漫画杂志上连载着     NaN                   misaki_luwi  2017年10月15日    NaN     NaN      http://i.youku.com/i/UNDEwOTA3MDA4
中国有很好的素材，可以给到日本去做。原因还是是没有钱投资动漫。觉得前景小。我不喜欢-听日语。不喜欢     NaN                腾讯用户7874367030  2017年10月03日    NaN     1.0  http://i.youku.com/i/UNDI2OTE4MTgxMg==
                好几年前看过动态漫画，原版很不错der，现在比较习惯国产配音的了呢     1.0          优酷用户1502762881502224  2017年09月02日    NaN     1.0  http://i.youku.com/i/UNDkwNDU5MTgyNA==
                       emm中日合作的漫好像是件有点复杂的事情，让我先屯着     NaN                腾讯用户6079275980  2017年08月15日    (1)     NaN  http://i.youku.com/i/UNDA5NDE4Njk4MA==
                         你就要求助理研究员外包装袋都会在一起来看流星雨的     NaN          优酷用户1476026814359172  2017年08月14日    NaN     1.0  http://i.youku.com/i/UNDA0NjcyOTY4MA==
                          有一天做梦，有一个开关 启动了 时间就能够倒流     4.0                       Dst一叶知秋  2017年07月11日    NaN     1.0  http://i.youku.com/i/UNDI2MzY1ODE2OA==
          我在这里为翻漫画杂志打个广告……时间是翻漫画的连载漫画，这部剧是根据漫画改编的     NaN                      Mr诱惑从零开始  2017年07月08日    NaN     NaN  http://i.youku.com/i/UMTUxMDk2Mzk2MA==
                             这一开使出来的男人不是死神的石田雨龙吗？     3.0                         月夜灬念她  2017年09月02日    NaN     NaN  http://i.youku.com/i/UMzYwNzgyNjE1Mg==
                      一听到是日文.我立马关掉.不管在好看...不知道为什么     3.0                 姑娘请留步76153350  2017年07月08日    (1)    13.0  http://i.youku.com/i/UMTcwNTY0OTEzNg==
             艺术无国界，本来想看看评论，好不好看的，结果太失望了，没一个看动漫了……     NaN                       姜林86717  2018年02月14日    NaN     NaN  http://i.youku.com/i/UNTIxNzY2MDIyOA==
                        不知道是剧本问题，还是请的霓虹人太渣～看着好难受啊     9.0                土豆用户_398268090  2017年07月20日    NaN     NaN  http://i.youku.com/i/UMTU5MzA3MjM2MA==
中国有很多好漫画，只不过没有改编成动漫而已//哇！那你去搞一搞好了！不喜欢就不要看，又没谁逼...     2.0                         李泽言的妻  2017年08月25日    NaN     NaN      http://i.youku.com/i/UNTgxNzMzODgw
既然爱国都被你称为“狗”了，那你就不要用“国内”的字眼了，因为你不是本国人。谢谢。//评论区...     2.0                         七里香芬芳  2017年08月03日    NaN     5.0      http://i.youku.com/i/UNTYxMjY2MjYw
                        你们有毒吧，看了一集神tm从头到尾都在说国漫日漫的     8.0                      Thyrando  2017年07月20日    NaN     NaN  http://i.youku.com/i/UMzEzNjM5NTc5Ng==
                           幸亏日本做了，变成国漫又糟踏一部好作品，冷汗     NaN          腾讯用户1515577563844166  2018年01月14日    NaN     1.0  http://i.youku.com/i/UNTUxNjAzODc2MA==
                 出了太短也没有啥太大问题，毕竟更注重剧情，没有太大硬伤就算不错了     2.0                         呜喵的灵柩  2017年07月08日    NaN     1.0  http://i.youku.com/i/UMzczMjc3NTc4OA==
        想想中国的动漫为啥这么短。做不到30分钟？还是分镜头不够？啥都不是缺钱啥都好办👌     NaN          腾讯用户1474445991512581  2017年10月20日    NaN     NaN  http://i.youku.com/i/UNDAwODU5NTE0OA==
                         龙卷风的好东西都给反反复复反反复复反反复复离开。     NaN                        小三爷_妖孽  2017年10月13日    NaN     NaN  http://i.youku.com/i/UMTQ1OTkzMDI2OA==
                       日语CV的国漫我还挺喜欢的。。总之做的很不错个人观点     5.0                       Izaya甘楽  2017年07月13日    NaN     5.0  http://i.youku.com/i/UMTQ4ODU3MDkwMA==
                                那个傻逼弄的 这是日漫还放在国漫里    10.0                         金钱豹队长  2017年07月18日    (3)     1.0  http://i.youku.com/i/UNDYwMjk0MzcyNA==
         我记得本来是漫画的，而且简介最后写的是他们发现了“时之契”似乎并不简单.....     1.0                           澜蘭斓  2017年08月16日    NaN     NaN  http://i.youku.com/i/UMTQ4NTI5ODc0NA==
                           评论暴露智商，国漫行业加油 天朝全方面赶超中     1.0                        绕床弄青梅_  2017年08月12日    NaN     NaN  http://i.youku.com/i/UNDcxOTgyNDM2OA==
                          为啥时长不能整长一点，非要分成两集播，也是醉了     NaN                          夏末成双  2017年08月07日    NaN     NaN  http://i.youku.com/i/UMjY5OTUzMDM1Ng==
                           中国有很多好的剧本但，弄不出日漫给人的感觉，     1.0                           魔茉陌  2017年08月06日    NaN     NaN  http://i.youku.com/i/UMjkyMjcyODMyMA==
你算老几啊很多人喜欢日漫的没看到吗 弹幕都是中日混合 的//本来想看的 但是听到日语 弃剧 ...     NaN                土豆用户_394904071  2017年08月05日    NaN     5.0  http://i.youku.com/i/UMTU3OTYxNjI4NA==
             我感觉中国的动漫可以模仿，但必须有一条自己的路不然，人家还是只知道日漫！     1.0                          尔何赌气  2017年08月05日    NaN     NaN  http://i.youku.com/i/UMTI4OTExNDA2MA==
                        看过呢，是部不错的漫画，国内有时候真的 很浪费人才     1.0                         -阿克曼_  2017年08月05日    NaN     NaN  http://i.youku.com/i/UNDg1OTAyNjY5Ng==
                草，这个不是国漫。开头就是日语，混在国漫这里好玩吗，浪费我的时间！     1.0                        簬過de泥鳅  2017年07月31日    (1)     8.0  http://i.youku.com/i/UMzA5ODgxMTM5Ng==
            一开始就没让维克托出来，搞的他儿子是男主一号一样。。。维克托才是一号好吧！    16.0          优酷用户1463487005128979  2017年07月19日    NaN     NaN  http://i.youku.com/i/UMzY1MTkxNzIzNg==
      小编你确定这是国漫？你哪国人啊，又是小日本派来的逗比吗？好看就行，但别拿国漫来忽悠人。     NaN          优酷用户1493442938222521  2017年07月11日    NaN     NaN  http://i.youku.com/i/UNDU5NTEzNzk5Mg==
                              觉得魁拔是中国国漫和日漫同等级的赞一个     1.0          优酷用户1499339694234966  2017年07月09日    NaN     1.0  http://i.youku.com/i/UNDc4MjYzMjQwMA==
本来就是很早以前的漫画，重置成动漫，嫌剧情太老，你可以滚出去，不要看 啊，谁逼你了//剧情太...     NaN                      思春期の不良少年  2017年07月09日    NaN     NaN  http://i.youku.com/i/UMjg2NTM3Njk2OA==
            十几分的剧，开始前的广告都90，而且普通话都不是，还把它在国漫下面，牛逼。     NaN                     906531008  2017年07月08日    NaN     NaN      http://i.youku.com/i/UMjYwODQ4OTY=
  几年前看过，不过那是是动漫版的漫画，没想到竟然会看到真正的动漫版，可为什么是日语啊，不是国漫吗     NaN                    Desti5B877  2017年07月08日    NaN     1.0  http://i.youku.com/i/UMTM4ODk4MTE3Mg==
                       其实很多优秀的国漫都限于经济与技术不能变为tv动漫了     NaN                   2522255oppo  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDI3MzE4NzMwOA==
     这根本就是日本制作的呀。。。也就原作是中国的，外加优酷出的制作经费吧。。。不过还是顶一个    13.0                优酷用户7787352906  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDU2MTY1NDc2NA==
                        评论区都在互殴，我只想看真正影评，只以情节论不好吗     3.0                         一介丨农夫  2017年08月06日    NaN     NaN      http://i.youku.com/i/UMTg1ODIzNDg4
                  全是大胸妹子，一看就是没有故事性 ，就不能拍点会说故事的动漫吗    11.0                  June63487979  2017年07月19日    NaN     NaN  http://i.youku.com/i/UMTM0MTkzMjY1Mg==
                                  证明国漫没问题，有问题的是声优    26.0         支付宝用户1468071688133366  2017年07月10日    (2)    19.0  http://i.youku.com/i/UMzc4NjQxMzYzMg==
